Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
Hodge et al. 2010	22 (0)	11 (0)	9.4 ± 2.0	10.4 ± 2.7	86.8 ± 22.2	114.5 ± 11.3	483.6 ± 59.6	472.2 ± 58.0
Scott et al. 2009	48 (0)	14 (0)	12.4 ± 3.1	12.5 ± 3.1	78.8 ± 23.0	113.0 ± 12.0	493.6 ± 53.1	489.0 ± 54.0
Webb et al. 2009	45 (7)	26 (8)	3.9 ± 0.3	3.9 ± 0.5	59.0 ± 21.0	115.0 ± 15.0	426.0 ± 54.0	452.0 ± 58.0
Cleavinger et al. 2008	28 (0)	16 (0)	13.9 ± 5.3	13.9 ± 5.4	98.6 ± 18.3	102.0 ± 13.5	460.0 ± 66.5	456.9 ± 54.8
Akshoomoff et al. 2004	52 (0)	15 (0)	3.8 ± 0.8	3.6 ± 1.1	82.1 ± 24.1	108.1 ± 17.6	455.7 ± 46.3	406.8 ± 33.0
Kaufmann et al. 2003	10 (0)	22 (0)	6.9 ± 2.4	8.3 ± 1.9	66.1 ± 14.4	120.8 ± 9.2	490.0 ± 53.0	480.0 ± 82.0
Pierce & Courchesne 2001	14 (2)	14 (4)	3.8 ± 1.1	4.4 ± 1.2	84.4 ± 23.5	110.0 ± 12.2	431.9 ± 50.0	438.3 ± 60.0
Hardan et al. 2001	22 (0)	22 (0)	22.4 ± 10.1	22.4 ± 10.0	100.4 ± 14.7	100.5 ± 14.2	450.0 ± 70.0	440.0 ± 80.0
Ciesielski et al. 1997	9 (4)	10 (3)	16.8 ± 5.2	16.6 ± 5.4	93.0 ± 12.8	119.0 ± 10.1	392.7 ± 40.6	437.7 ± 28.2
Hashimoto et al. 1995	96 (24)	112 (47)	6.4 ± 4.9	7.2 ± 5.2	59.5 ± 25.0	99.2 ± 18.1	372.5 ± 69.5	393.0 ± 68.2
Courchesne et al. 1994	50 (9)	53 (10)	16.5 ± 11.6	18.8 ± 10.4	81.0 ± 31.3	115.0 ± 15.0	423.7 ± 50.2	426.6 ± 50.2
Piven et al. 1992	15 (0)	15 (0)	27.7 ± 10.7	28.8 ± 5.6	92.5 ± 23.4	130.0 ± -	464.8 ± 62.6	452.1 ± 33.6
Holttum et al. 1992	18 (0)	18 (0)	20.2 ± 8.1	20.2 ± 8.3	94.5 ± 12.2	95.2 ± 12.1	460.0 ± 44.0	434.0 ± 65.0
Garber & Ritvo 1992	12 (3)	12 (4)	27.2 ± 5.3	26.4 ± 3.6	95.0 ± 15.0	115.0 ± 15.0	463.0 ± 51.0	448.0 ± 40.0
Kleiman et al. 1992	13 (3)	17 (8)	7.7 ± 5.7	7.0 ± 4.3	52.4 ± 16.6	115.0 ± 15.0	359.1 ± 17.8	371.0 ± 17.0
Ritvo & Garber 1988	15 (4)	15 (4)	11.6 ± 4.1	11.6 ± 4.1	75.0 ± 15.0	115.0 ± 15.0	470.0 ± 40.0	470.0 ± 60.0
Total	469 (56)	392 (88)	11.0 ± 9.0	12.2 ± 9.3	76.9 ± 26.7	108.7 ± 17.1	434.8 ± 69.9	428.3 ± 67.1
