Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
Hodge et al. 2010	22 (0)	11 (0)	9.4 ± 2.0	10.4 ± 2.7	86.8 ± 22.2	114.5 ± 11.3	363.2 ± 52.6	372.5 ± 54.1
Scott et al. 2009	48 (0)	14 (0)	12.4 ± 3.1	12.5 ± 3.1	78.8 ± 23.0	113.0 ± 12.0	376.0 ± 47.5	350.0 ± 32.0
Webb et al. 2009	45 (7)	26 (8)	3.9 ± 0.3	3.9 ± 0.5	59.0 ± 21.0	115.0 ± 15.0	312.0 ± 48.0	316.0 ± 45.0
Cleavinger et al. 2008	28 (0)	16 (0)	13.9 ± 5.3	13.9 ± 5.4	98.6 ± 18.3	102.0 ± 13.5	450.9 ± 130.4	446.4 ± 118.3
Kaufmann et al. 2003	10 (0)	22 (0)	6.9 ± 2.4	8.3 ± 1.9	66.1 ± 14.4	120.8 ± 9.2	360.0 ± 55.0	340.0 ± 65.0
Hardan et al. 2001	22 (0)	22 (0)	22.4 ± 10.1	22.4 ± 10.0	100.4 ± 14.7	100.5 ± 14.2	300.0 ± 60.0	340.0 ± 50.0
Levitt et al. 1999	8 (-)	21 (-)	12.5 ± 2.2	12.0 ± 2.8	83.3 ± 11.9	114.9 ± 11.0	234.0 ± 51.5	281.8 ± 31.7
Hashimoto et al. 1995	96 (24)	112 (47)	6.4 ± 4.9	7.2 ± 5.2	59.5 ± 25.0	99.2 ± 18.1	267.3 ± 54.6	286.5 ± 48.1
Holttum et al. 1992	18 (0)	18 (0)	20.2 ± 8.1	20.2 ± 8.3	94.5 ± 12.2	95.2 ± 12.1	328.0 ± 50.0	344.0 ± 47.0
Total	297 (-)	262 (-)	10.1 ± 7.3	10.4 ± 7.5	74.3 ± 26.6	105.2 ± 17.2	324.4 ± 86.0	318.8 ± 69.0
